alpha,beta,tau,sharpness,val_corrected_kge,val_corrected_nse,val_negative_kge_stations,val_negative_nse_stations
0.6,0.2,0.0,0.35,0.7163741587871216,0.7332552953432773,0,1
0.6,0.2,0.2,0.2,0.7161697929670376,0.7334091607155113,0,1
0.4,1.0,0.2,0.35,0.716092116023167,0.7218904166164251,0,0
1.0,0.4,0.2,0.05,0.7159622398305329,0.7358692298807039,0,1
0.6,0.6,-0.4,0.35,0.7159157608477106,0.7306982769805772,0,0
1.0,0.4,0.2,0.1,0.7159121114457732,0.7357068782464797,0,1
1.0,0.4,0.2,0.2,0.715577671671763,0.7352601823064558,0,1
1.0,0.6,-0.4,0.2,0.7155102167427627,0.7322822490021441,0,0
0.6,0.2,0.2,0.35,0.7154658991728358,0.7330996918836066,0,1
1.0,0.6,-0.2,0.2,0.7153282366044247,0.7337341271543901,0,0
1.0,0.6,-0.4,0.1,0.7152415739616964,0.731411066708187,0,0
0.6,0.2,0.4,0.35,0.7151887490887783,0.732858204552759,0,1
0.8,0.6,0.0,0.05,0.7151160281934792,0.733346676264141,0,0
0.4,1.0,0.2,0.2,0.7150927517107311,0.7216579218566386,0,0
0.4,0.6,0.4,0.05,0.7149638745700467,0.7305012040162153,0,0
0.4,1.0,0.2,0.1,0.7149574595833199,0.7215666533147571,0,0
0.4,0.6,0.4,0.1,0.7147374182172739,0.7305281632017862,0,0
0.6,0.4,-0.4,0.2,0.7146521605419404,0.7350428822080997,0,1
1.0,0.4,0.2,0.35,0.714557483938798,0.7346685021229838,0,1
0.4,0.4,-0.2,0.05,0.7144643833447898,0.7355616159419374,0,1
0.4,0.4,-0.2,0.35,0.7144470364625601,0.7354913707076052,0,1
1.0,0.6,-0.4,0.05,0.7144122651521064,0.7310069309589502,0,0
0.4,0.6,0.2,0.05,0.714397433211136,0.7307953445260258,0,0
0.4,0.4,-0.2,0.1,0.714323796102525,0.7355556066478235,0,1
0.4,0.4,-0.2,0.2,0.7142106406583575,0.7355248200636129,0,1
0.8,0.6,0.0,0.1,0.7141278196284829,0.7328321514608112,0,0
1.0,0.6,-0.4,0.35,0.7140800550444701,0.7334334397436026,0,0
1.2,0.4,-0.4,0.05,0.7140114879271944,0.7332092929822359,0,1
1.0,0.6,0.0,0.05,0.7139980909561593,0.7355448963193791,0,0
1.0,0.4,0.4,0.1,0.7139871777296354,0.7344995699436796,0,1
1.0,0.4,0.4,0.05,0.7139771832369888,0.7345304085508334,0,1
0.8,0.6,0.4,0.35,0.7138829634748176,0.7319559200693215,0,0
1.2,0.4,-0.4,0.1,0.7138738677223047,0.733207531444581,0,1
1.0,0.6,0.0,0.1,0.713789007613798,0.7354171726755789,0,0
0.4,0.6,0.2,0.1,0.7135911690720131,0.7308142037543719,0,0
1.2,0.4,-0.4,0.2,0.7135714903622015,0.7331866258289137,0,1
1.0,0.4,0.4,0.2,0.713545778909513,0.7344037746344794,0,1
0.6,0.4,-0.4,0.1,0.7133764179017695,0.7350659499796737,0,1
0.6,0.4,-0.4,0.05,0.7133242646062512,0.7350682719775145,0,1
1.2,0.6,0.4,0.35,0.7129208297782326,0.7312101563639924,0,0
1.0,0.8,0.4,0.35,0.7128701896667999,0.7342054882732518,0,0
1.2,0.4,-0.4,0.35,0.7128244465236638,0.7331469960287622,0,1
0.4,0.6,0.4,0.2,0.7127914906386159,0.7306292773248169,0,0
1.0,0.6,0.0,0.2,0.7127564721417992,0.7354119531001254,0,0
1.0,0.6,-0.2,0.35,0.7127478695575264,0.7345965117080852,0,0
1.2,0.6,0.4,0.2,0.7126234128866638,0.7309810343849782,0,0
1.2,0.4,-0.2,0.1,0.7125689233718746,0.7331172789091831,0,1
1.2,0.4,-0.2,0.05,0.7125555165934536,0.7331226556371997,0,1
1.0,0.4,0.4,0.35,0.7124165375511966,0.7341982317340076,0,1
1.2,0.4,-0.2,0.2,0.7122980383276103,0.7330899882555055,0,1
0.8,1.0,0.4,0.35,0.712222637953847,0.7311397433624376,0,0
1.0,0.6,0.4,0.05,0.7122135941697122,0.7365510477163074,0,0
0.8,0.6,-0.2,0.05,0.7121607581324072,0.7311046030671897,0,0
0.6,1.0,-0.2,0.35,0.7121311469860431,0.7214906766041633,0,0
1.2,0.6,0.4,0.1,0.7121285594337081,0.7307178296439933,0,0
0.4,0.4,-0.4,0.35,0.7121097381134089,0.735580608253803,0,1
